,Name,url,Sector,Industry,Employees,Description,Executive1,Executive2,Executive3,Executive4,Executive5
CASC,"Cascadian Therapeutics, Inc.",http://www.cascadianrx.com,N/A,N/A,N/A,"Cascadian Therapeutics, Inc., a clinical-stage biopharmaceutical company, researches and develops, and sells therapeutic products for the treatment of cancer in the United States. The company lead clinical-stage product candidate is tucatinib, an orally active and HER2-selective small molecule tyrosine kinase inhibitor, which is in two Phase Ib trials, one in combination with Kadcyla and another in combination with Xeloda and/or Herceptin. It is also developing Checkpoint kinase 1, a protein kinase that is in pre-clinical studies to regulate the cell division cycle, as well as to DNA damage and replication stress. In addition, the company focuses on the development of novel antibodies and T-cell immunoreceptor with Ig and ITM domains, an inhibitory receptor expressed on T-cells and NK cells that negatively regulate immune response to cancers. It has a license agreement with Array BioPharma Inc. to develop, manufacture and commercialize tucatinib; research collaboration agreement with Sentinel Oncology Ltd. for the discovery of novel Chk1 inhibitors; and collaboration agreement with Adimab LLC for the discovery of novel antibodies against d immunotherapy targets in oncology. The company was formerly known as Oncothyreon Inc. and changed its name to Cascadian Therapeutics, Inc. in June 2016. Cascadian Therapeutics, Inc. was founded in 1985 and is headquartered in Seattle, Washington.","{'name': 'Mr. Scott D. Myers', 'title': 'Pres, CEO & Director', 'pay': '744.57k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Ms. Julia M. Eastland M.B.A.', 'title': 'CFO, Chief Bus. Officer & Sec.', 'pay': '467.44k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Mr. Gary W. Christianson PE', 'title': 'Chief Operating Officer', 'pay': '443.02k', 'exercised': 'N/A', 'age': '62'}","{'name': 'Dr. Scott Robert Peterson Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '494.44k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Dr. Gwen A. Fyfe M.D.', 'title': 'Consultant & Director', 'pay': '48.9k', 'exercised': 'N/A', 'age': '65'}"
CBPO,"China Biologic Products Holdings, Inc.",http://www.chinabiologic.com,N/A,N/A,N/A,"China Biologic Products Holdings, Inc. engages in the research, development, manufacture, and sale of human plasma-based biopharmaceutical products to hospitals and inoculation centers in the Peoples Republic of China. It offers human albumin for treating shock caused by blood loss trauma or burn; raised intracranial pressure caused by hydrocephalus or trauma; oedema or ascites caused by hepatocirrhosis and nephropathy; and neonatal hyperbilirubinemia, as well as for the prevention and treatment of low-density-lipoproteinemia. The company also provides human immunoglobulin and immunoglobulin for intravenous injection products for original and secondary immunoglobulin deficiency, and auto-immune deficiency diseases; human hepatitis B immunoglobulin for the prevention of measles and contagious hepatitis; human rabies immunoglobulin primarily for passive immunity from bites or claws by rabies or other infected animals; and human tetanus immunoglobulin for the prevention and therapy of tetanus. In addition, it offers placenta polypeptide for the treatment of cell immunity deficiency diseases, viral infection, and leucopenia, as well as assists in postoperative healing; factor VIII for treating coagulopathies; and human prothrombin complex concentrate for treating congenital and acquired clotting factor II, VII, IX, X deficiency, as well as excessive anticoagulant, vitamin K deficiency, etc. Further, the company is developing human hepatitis B immunoglobulin (pH4) for intravenous injection; human fibrinogen; immune globulin intravenous; human antithrombin III; human cytomegalovirus immunoglobulin; human coagulation factor IX; and human fibrin sealant products. The company sells its products directly, as well as through distributors. The company was formerly known as China Biologic Products, Inc. and changed its name to China Biologic Products Holdings, Inc. in July 2017. China Biologic Products Holdings, Inc. is headquartered in Beijing, the Peoples Republic of China.","{'name': 'Mr. Xiaoying  Gao', 'title': 'Chairman, Chief Exec. Officer and Pres', 'pay': '1.4M', 'exercised': '7.55M', 'age': '67'}","{'name': 'Mr. Ming  Yang', 'title': 'Chief Financial Officer', 'pay': '678.5k', 'exercised': '2.9M', 'age': '46'}","{'name': 'Mr. Ming  Yin', 'title': 'Sr. Corp. VP', 'pay': '491.68k', 'exercised': '3.93M', 'age': '40'}","{'name': 'Ms. Zhijing  Liu', 'title': 'Corp. VP', 'pay': '233.34k', 'exercised': 'N/A', 'age': '64'}","{'name': 'Mr. Gang  Yang', 'title': 'Corp. VP and Gen. Mang. of Guizhou Taibang', 'pay': '344.25k', 'exercised': '5.31M', 'age': '53'}"
CCXI,"ChemoCentryx, Inc.",http://www.chemocentryx.com,Healthcare,Biotechnology,62,"ChemoCentryx, Inc., a clinical-stage biopharmaceutical company, develops medications for inflammatory disorders, autoimmune diseases, and cancer in the United States. Its lead drug candidate is Avacopan (CCX168), an orally-administered small molecule that is a selective inhibitor of the complement C5a receptor (C5Ar), which is in Phase III development for the treatment of anti-neutrophil cytoplasmic auto-antibody-associated vasculitis (AAV). The company also engages in developing CCX140, an inhibitor of the chemokine receptor known as CCR2 for patients with focal segmental glomerulosclerosis (FSGS), a debilitating kidney disease; Vercirnon for the treatment of patients with moderate-to-severe Crohns diseases; CCX872, a selective inhibitor of the human CCR2 that has completed Phase I clinical trial for the treatment of pancreatic cancer; CCX507, which has completed Phase I clinical trial for the treatment of inflammatory bowel diseases; and Th17 cells for the treatment of psoriasis, rheumatoid arthritis, asthma, and multiple sclerosis. It has a partnership with Vifor (International) Ltd. for the geographic commercial rights of Avacopan in Europe and other international markets. ChemoCentryx, Inc. was founded in 1997 and is headquartered in Mountain View, California.","{'name': 'Dr. Thomas J. Schall Ph.D.', 'title': 'Founder, Chairman, Chief Exec. Officer and Pres', 'pay': '858.64k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Ms. Susan M. Kanaya', 'title': 'Chief Financial & Admin. Officer, Exec. VP and Sec.', 'pay': '597.52k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Dr. Markus J. Cappel Ph.D.', 'title': 'Chief Bus. Officer and Treasurer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '57'}","{'name': 'Dr. Rajinder  Singh Ph.D.', 'title': 'Sr. VP of Research', 'pay': 'N/A', 'exercised': 'N/A', 'age': '51'}","{'name': 'Dr. Jan L. Hillson M.D.', 'title': 'Sr. VP of Drug Devel.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '65'}"
CELG,Celgene Corporation,http://www.celgene.com,Healthcare,Biotechnology,"7,132","Celgene Corporation discovers, develops, and commercializes therapies to treat cancer and inflammatory diseases worldwide. It offers REVLIMID, an oral immunomodulatory drug for multiple myeloma, myelodysplastic syndromes (MDS), and mantle cell lymphoma; POMALYST/IMNOVID to treat multiple myeloma; OTEZLA, a small-molecule inhibitor of phosphodiesterase 4 for psoriatic arthritis, psoriasis, and ankylosing spondylitis; and ABRAXANE, a solvent-free chemotherapy product to treat breast, non-small cell lung, pancreatic, and gastric cancers. The companys products also include VIDAZA, a pyrimidine nucleoside analog for intermediate-2 and high-risk MDS, chronic myelomonocytic leukemia, and acute myeloid leukemia (AML); THALOMID to treat patients with multiple myeloma and erythema nodosum leprosum; and RITALIN and FOCALIN XR products. Its clinical stage products comprise OTEZLA for use in treating various immune-inflammatory diseases; luspatercept for beta-thalassemia and MDS; CC-486 to treat MDS, AML, and solid tumors; AG-881 for glioma with IDH mutations; LSD1 inhibitor to treat non-hodgkin lymphoma and solid tumors; CC-122 and CC-220 to treat hematological and solid tumor cancers, and inflammation and immunology diseases; and durvalumab, an anti-PDL-1 antibody, for multiple hematological cancers. The company has a strategic collaboration with BeiGene, Ltd. and Nimbus Therapeutics. It also has collaborative agreements with Acceleron Pharma, Inc.; Agios Pharmaceuticals, Inc.; Sutro Biopharma, Inc.; bluebird bio, Inc.; FORMA Therapeutics Holdings, LLC; OncoMed Pharmaceuticals, Inc.; NantBioScience, Inc.; AstraZeneca PLC; Lycera Corp.; Juno Therapeutics, Inc.; Nurix Inc.; Jounce Therapeutics, Inc.; and Dragonfly Therapeutics, Inc. Celgene Corporation was founded in 1980 and is headquartered in Summit, New Jersey.","{'name': 'Mr. Robert J. Hugin MBA', 'title': 'Exec. Chairman', 'pay': '8.04M', 'exercised': '1.74M', 'age': '63'}","{'name': 'Mr. Mark J. Alles', 'title': 'CEO & Director', 'pay': '4.77M', 'exercised': '1.6M', 'age': '59'}","{'name': 'Mr. Scott Andrew Smith', 'title': 'Pres & COO', 'pay': '2.01M', 'exercised': 'N/A', 'age': '56'}","{'name': 'Mr. Peter N. Kellogg BSE, MBA', 'title': 'Exec. VP, CFO & Chief Accounting Officer', 'pay': '3.58M', 'exercised': 'N/A', 'age': '62'}","{'name': 'Mr. Rupert J. Vessey MA, BM BCh, FRCP, DPhil', 'title': 'Exec. VP and Pres of Research & Early Devel.', 'pay': '1.76M', 'exercised': 'N/A', 'age': '53'}"
CERS,Cerus Corporation,http://www.cerus.com,Healthcare,Biotechnology,204,"Cerus Corporation, a biomedical products company, focuses on developing and commercializing the INTERCEPT Blood System to enhance blood safety. Its INTERCEPT Blood System is based on its proprietary technology for controlling biological replication; and targets and inactivates blood-borne pathogens, such as viruses, bacteria, and parasites, as well as harmful white blood cells, while preserving the therapeutic properties of platelet, plasma, and red blood cell transfusion products. The companys INTERCEPT Blood Systems for platelets and plasma are designed to inactivate blood-borne pathogens in platelets and plasma donated for transfusion; and INTERCEPT Blood System for red blood cells to inactivate blood-borne pathogens in red blood cells donated for transfusion. It markets platelet and plasma systems through its direct sales force and distributors in the United States, Europe, the Commonwealth of Independent States, the Middle East, Latin America, and internationally. The company was founded in 1991 and is headquartered in Concord, California.","{'name': 'Mr. William M. Greenman', 'title': 'Pres, Chief Exec. Officer & Director', 'pay': '884.97k', 'exercised': '31.35k', 'age': '50'}","{'name': 'Dr. Laurence M. Corash M.D.', 'title': 'Co-Founder, Chief Scientific Officer, Sr. VP & Corp. Director', 'pay': '595.71k', 'exercised': '36.39k', 'age': '73'}","{'name': 'Mr. Kevin D. Green', 'title': 'VP - Fin. & CFO', 'pay': '476.93k', 'exercised': '15.48k', 'age': '45'}","{'name': 'Dr. Richard J. Benjamin MBChB, Ph.D.', 'title': 'Chief Medical Officer', 'pay': '523.13k', 'exercised': 'N/A', 'age': '57'}","{'name': 'Mr. Vivek K. Jayaraman', 'title': 'Chief Commercial Officer', 'pay': '191.06k', 'exercised': 'N/A', 'age': '42'}"
CHRS,"Coherus Biosciences, Inc.",http://www.coherus.com,N/A,N/A,N/A,"Coherus BioSciences, Inc., a late-stage clinical biologics platform company, focuses on developing and commercializing biosimilar products worldwide. The companys product candidates include CHS-1701, a pegfilgrastim biosimilar candidate, which is used for the treatment of febrile neutropenia; CHS-0214, an etanercept biosimilar candidate, which is in various phases of clinical trials for the treatment of ankylosing spondylitis, juvenile idiopathic arthritis, psoriatic arthritis, rheumatoid arthritis, and psoriasis; and CHS-5217, a bevacizumab biosimilar candidate, which is in preclinical stage for the treatment of metastatic colorectal cancer, nonsmall cell lung cancer, metastatic kidney cancer, advanced cervical cancer, platinum-resistant ovarian cancer, and recurrent glioblastoma. Its product candidates also comprise CHS-1420, an adalimumab biosimilar candidate, which is in various phases of clinical trials to treat ankylosing spondylitis, Behçet's Disease, Crohns Disease, juvenile idiopathic arthritis, psoriasis, psoriatic arthritis, rheumatoid arthritis, and ulcerative colitis; and CHS-3351, a ranibizumab biosimilar candidate, which is in preclinical stage for the treatment of neovascular (wet) age-related macular, degeneration, macular edema following retinal vein occlusion, diabetic macular edema, and diabetic retinopathy. Coherus Biosciences, Inc. has license agreement with Daiichi Sankyo Company, Limited; Baxalta Incorporated, Baxalta US Inc., and Baxalta GmbH; Genentech, Inc.; and Selexis SA. The company was formerly known as BioGenerics, Inc. and changed its name to Coherus Biosciences, Inc. in April 2012. Coherus Biosciences, Inc. was founded in 2010 and is headquartered in Redwood City, California.","{'name': 'Mr. Dennis M. Lanfear', 'title': 'Chairman, Chief Exec. Officer and Pres', 'pay': '1.12M', 'exercised': 'N/A', 'age': '63'}","{'name': 'Dr. Jean-Fr??d??ric  Viret Ph.D.', 'title': 'Chief Financial Officer', 'pay': '547.92k', 'exercised': '263.14k', 'age': '52'}","{'name': 'Dr. Peter K. Watler Ph.D.', 'title': 'Chief Technical Officer', 'pay': '512.41k', 'exercised': '2.36M', 'age': '56'}","{'name': 'Dr. Alan C. Herman Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '408.95k', 'exercised': 'N/A', 'age': '70'}","{'name': 'Dr. Barbara K. Finck M.D.', 'title': 'Chief Medical Officer', 'pay': '604.04k', 'exercised': 'N/A', 'age': '71'}"
CLDX,"Celldex Therapeutics, Inc.",http://www.celldextherapeutics.com,N/A,N/A,N/A,"Celldex Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of several immunotherapy technologies and other cancer-targeting biologics. Its drug candidates include glembatumumab vedotin, an antibody-drug that is in Phase IIb study for the treatment of triple negative breast cancer and a Phase II study for the treatment of metastatic melanoma; and Varlilumab, an immune modulating antibody that is in a Phase 1 study designed to enhance a patient's immune response against cancer. It also develops earlier stage drug candidates in clinical development, including CDX-1401, an immunotherapeutic for cancer indications; CDX-301, an immune cell mobilizing agent and dendritic cell growth factor; and CDX-014, an antibody-drug conjugate targeting renal and ovarian cancers. In addition, the company focuses on the discovery and development of antibody-based drugs targeting receptor tyrosine kinases, such as CDX-0158, a humanized monoclonal antibody currently in a Phase 1 dose escalation study in refractory gastrointestinal stromal tumors and other KIT positive tumors; and CDX-3379, a human monoclonal antibody, which has completed a Phase 1b study in patients with solid tumors. Celldex Therapeutics, Inc. has research collaboration and license agreements with Medarex, Inc.; Rockefeller University; University of Southampton; Amgen Inc.; Amgen Fremont; and Seattle Genetics, Inc. The company is headquartered in Hampton, New Jersey.","{'name': 'Mr. Anthony S. Marucci M.B.A.', 'title': 'Co-Founder, Pres, CEO & Director', 'pay': '873.75k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Dr. Tibor  Keler Ph.D.', 'title': 'Founder, Chief Scientific Officer and Exec. VP', 'pay': '552.71k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Ms. Elizabeth  Crowley', 'title': 'Chief Product Devel. Officer and Sr. VP', 'pay': '423.2k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Mr. Sam  Martin', 'title': 'CFO & Sr. VP', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Ms. Sarah  Cavanaugh', 'title': 'Sr. VP of Corp. Affairs & Admin.', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
CLLS,Cellectis S.A.,http://www.cellectis.com,,,114,"Cellectis S.A., a gene-editing company, develops and sells immuno-oncology products based on gene-edited T-cells that express chimeric antigen receptors to target and eradicate cancer in France. The company operates through two segments, Therapeutics and Plants. Its lead product candidate is UCART19, an allogeneic T-cell product candidate for the treatment of CD19 expressing hematologic malignancies, which develop in acute lymphoblastic leukemia (ALL) and CLL. The companys products also comprise UCART123 for acute myeloid leukemia indications and blastic plasmacytoid dendritic cell neoplasm; UCARTCS1 for multiple myeloma (MM) indications; UCART22 for ALL; and UCART38 for T-cell ALL and MM. In addition, it focuses on applying its gene-editing technologies to develop new generation plant products in the field of agricultural biotechnology. The company has strategic alliances with Pfizer Inc. to generate CAR T-cells in the field of oncology; Les Laboratoires Servier SAS to develop and commercialize product candidates; The University of Texas MD Anderson Cancer Center to research and develop novel cellular immunotherapies for patients suffering from various liquid tumors; and Cornell University to accelerate the development of a targeted immunotherapy for patients with acute myeloid leukemia. Cellectis S.A. was founded in 1999 and is headquartered in Paris, France.","{'name': 'Dr. Andr??  Choulika Ph.D.', 'title': 'Co-Founder, Chairman and Chief Exec. Officer', 'pay': '408.76k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. David J. D. Sourdive Ph.D.', 'title': 'Co-Founder, Exec. VP - Technical Operations and Director', 'pay': '312.54k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Mr. Eric  Dutang', 'title': 'Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '44'}","{'name': 'Dr. Mathieu  Simon M.D.', 'title': 'Exec. VP, COO, Interim Chief Medical Officer & Director', 'pay': 'N/A', 'exercised': 'N/A', 'age': '61'}","{'name': 'Dr. Philippe  Duchateau Ph.D.', 'title': 'Chief Scientific Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '55'}"
CLVS,"Clovis Oncology, Inc.",http://www.clovisoncology.com,N/A,N/A,N/A,"Clovis Oncology, Inc., a biopharmaceutical company, focuses on acquiring, developing, and commercializing anti-cancer agents in the United States, Europe, and internationally. Its commercial product includes Rubraca (rucaparib) tablet, an oral and small molecule poly ADP-ribose polymerase inhibitor as monotherapy for the treatment of patients with deleterious breast cancer mutation associated advanced ovarian cancer, who have been treated with two or more chemotherapies, and selected for therapy by an FDA-approved companion diagnostic for Rubraca. The company is also involved in the ARIEL3 and ARIEL4 confirmatory trials of rucaparib as a potential maintenance therapy and treatment for ovarian cancer; trial of rucaparib in prostate indications (TRITON) 2, a Phase 2 single-arm study in men with metastatic castrate-resistant prostate cancer; and TRITON3, a Phase 3 comparative study in men with mCRPC enrolling BRCA mutant and ATM, as well as engages in the various clinical studies for other indications. It distributes its products primarily through specialty distributors and pharmacy providers to patients and health care providers. The company has license agreements with Pfizer Inc., AstraZeneca UK Limited, Advenchen Laboratories LLC, and Celgene Corporation; and collaboration and license agreement with Les Laboratoires Servier; and a clinical collaboration with Bristol-Myers Squibb Company to evaluate combination of Opdivo (Nivolumab) and Rubraca (rucaparib) in Phase 2 and pivotal Phase 3 clinical trials in multiple tumor types. Clovis Oncology, Inc. was founded in 2009 and is headquartered in Boulder, Colorado.","{'name': 'Mr. Patrick J. Mahaffy MA', 'title': 'Co-Founder, Chief Exec. Officer, Pres and Exec. Director', 'pay': '788.62k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Dr. Gillian C. Ivers-Read BSc', 'title': 'Co-Founder, Chief Regulatory Officer and Exec. VP of Technical Operations', 'pay': '735.17k', 'exercised': 'N/A', 'age': '64'}","{'name': 'Mr. Daniel W. Muehl CPA', 'title': 'Sr. VP of Fin. and Principal Financial & Accounting Officer', 'pay': '492.36k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Dr. Lindsey  Rolfe BSc, MB ChB, MRCP, FFPM', 'title': 'Chief Medical Officer and Exec. VP of Clinical, Preclinical Devel. & Pharmacovigilance', 'pay': '724.92k', 'exercised': 'N/A', 'age': '50'}","{'name': 'Mr. Corwin  Dale Hooks', 'title': 'Chief Commercial Officer and Sr. VP', 'pay': '585.27k', 'exercised': 'N/A', 'age': '51'}"
CLXT,"Calyxt, Inc.",http://www.calyxt.com,N/A,N/A,N/A,"Calyxt, Inc., an agriculture biotechnology company, develops healthier specialty food ingredients and agricultural food crops using gene editing technology for plants. It engages in the development of high oleic soybeans, powdery mildew resistant wheat, cold storable potatoes, high fiber wheat, reduced browning potatoes, and herbicide tolerant wheat. The Company was formerly known as Cellectis Plant Sciences, Inc. and changed its name to Calyxt, Inc. in May 2015. The company was founded in 2010 and is headquartered in New Brighton, Minnesota. Calyxt, Inc. is a subsidiary of Cellectis S.A.","{'name': 'Mr. Federico A.  Tripodi', 'title': 'Chief Exec. Officer', 'pay': '384.76k', 'exercised': 'N/A', 'age': '41'}","{'name': 'Dr. Daniel  Voytas Ph.D.', 'title': 'Founder & Chief Science Officer', 'pay': '280.24k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Mr. Bryan W. J. Corkal', 'title': 'CFO and Principal Financial & Accounting Officer', 'pay': '19.32k', 'exercised': 'N/A', 'age': '50'}","{'name': 'Simon  Harnest', 'title': 'VP of Fin. & Investor Relations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Mr. Joseph B. Saluri J.D.', 'title': 'Gen. Counsel & Exec. VP of Corp. Devel.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '51'}"
CMRX,"Chimerix, Inc.",http://www.chimerix.com,N/A,N/A,N/A,"Chimerix, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines that address unmet medical needs in the United States. The companys lead product candidate is brincidofovir, an investigational nucleoside analog for the prevention of serious viral infections in hematopoietic or stem cell transplant recipients (HCT), as well as for the treatment of serious adenovirus infection and disease, smallpox, and BK virus infection in kidney and HCT transplant recipients. It is also developing CMX521, a nucleoside analog that is in preclinical stage for the treatment and prevention of norovirus; and CMX157, a nucleoside analog, which is in Phase II clinical stage to treat HIV and hepatitis B virus infection. It has a license agreement with ContraVir Pharmaceuticals for the development and commercialization of brincidofovir and CMX157 for certain antiviral indications; and BARDA for the development of brincidofovir for the treatment of smallpox. Chimerix, Inc. was founded in 2000 and is headquartered in Durham, North Carolina.","{'name': 'Dr. M. Michelle Berrey M.D., MPH.', 'title': 'Pres, CEO & Director', 'pay': '724.37k', 'exercised': '9.58k', 'age': '50'}","{'name': 'Mr. Timothy W. Trost CPA', 'title': 'Sr. VP, CFO & Corp. Sec.', 'pay': '460.78k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Ms. Linda M. Richardson', 'title': 'Chief Strategy & Commercial Officer', 'pay': '471.32k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. William Garrett Nichols M.D., MS', 'title': 'Chief Medical Officer', 'pay': '528.01k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Dr. Roy W. Ware Ph.D., MBA', 'title': 'Chief Manufacturing & Technology Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
CNCE,"Concert Pharmaceuticals, Inc.",http://www.concertpharma.com,N/A,N/A,N/A,"Concert Pharmaceuticals, Inc. operates as a clinical stage biopharmaceutical company. It discovers and develops novel small molecule drugs for use in the treatment of various pulmonary diseases, including cystic fibrosis, autoimmune and inflammatory diseases, and central nervous systems disorders. The companys clinical-stage product candidates include AVP-786, which is in Phase 3 clinical trials for the treatment of neurologic and psychiatric disorders, including agitation associated with Alzheimers disease; and CTP-656, which is in Phase 2 clinical trials to treat cystic fibrosis. It product candidates that have completed Phase 1 clinical trials comprise CTP-730 for use in the treatment of inflammation or cancer; JZP-386 for use in the treatment of excessive daytime sleepiness and cataplexy; and CTP-543 for use in the treatment of alopecia areata. The company has strategic collaborations with Celgene Pharmaceuticals, Inc.; Celgene International Sarl; Celgene Corporation; Avanir Pharmaceuticals, Inc.; and Jazz Pharmaceuticals, Inc. Concert Pharmaceuticals, Inc. was founded in 2006 and is headquartered in Lexington, Massachusetts.","{'name': 'Dr. Roger D. Tung Ph.D.', 'title': 'Co-Founder, CEO, Pres & Director', 'pay': '709.62k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Ms. Nancy  Stuart', 'title': 'Chief Operating Officer', 'pay': '517.67k', 'exercised': 'N/A', 'age': '60'}","{'name': 'Dr. James V. Cassella Ph.D.', 'title': 'Chief Devel. Officer & Sr. VP', 'pay': '529.09k', 'exercised': 'N/A', 'age': '63'}","{'name': 'Ryan  Lynch', 'title': 'Principal Financial Officer, Principal Accounting Officer & Corp. Controller', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Ms. Justine E. Koenigsberg', 'title': 'VP of Corp. Communications & Investor Relations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
COLL,"Collegium Pharmaceutical, Inc.",http://www.collegiumpharma.com,N/A,N/A,N/A,"Collegium Pharmaceutical, Inc., a specialty pharmaceutical company, develops and commercializes abuse-deterrent products that incorporate its DETERx platform technology for the treatment of chronic pain and other diseases. It offers Xtampza, an oral formulation of oxycodone, for the management of pain. The company also develops Onsolis, a transmucosal immediate-release fentanyl film indicated for the management of breakthrough pain in cancer patients 18 years of age and older. The company is also developing COL-195, a hydrocodone for the treatment of chronic pain; COL-172, an oxymorphone for the treatment of chronic pain; COL-196, a morphine formulation to treat pain; and COL-171, a methylphenidate formulation for the treatment of attention deficit hyperactivity disorder. The company was formerly known as Collegium Pharmaceuticals, Inc. and changed its name to Collegium Pharmaceutical, Inc. in October 2003. Collegium Pharmaceutical, Inc. was incorporated in 2002 and is headquartered in Canton, Massachusetts.","{'name': 'Mr. Michael T. Heffernan B.S. Pharm, R.Ph.', 'title': 'Founder, Chairman, Chief Exec. Officer, Pres, Treasurer and Sec.', 'pay': '736k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Mr. Paul  Brannelly', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '452.07k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Mr. Joseph J. Ciaffoni', 'title': 'Chief Operating Officer & Exec. VP', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Alison B. Fleming Ph.D.', 'title': 'Chief Technology Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '43'}","{'name': 'Mr. Jack  Maroney', 'title': 'VP of Sales', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
CORI,"Corium International, Inc.",http://www.coriumgroup.com,Healthcare,Biotechnology,213,"Corium International, Inc., a biopharmaceutical company, focuses on the development, manufacture, and commercialization of specialty pharmaceutical products in transdermal and transmucosal delivery systems. It offers Clonidine Transdermal Delivery System (TDS), a treatment for hypertension; Fentanyl TDS, a treatment for the management of chronic pain, including cancer-related pain; and Crest Whitestrips for teeth whitening. The companys products under pipeline comprise Twirla, a combination hormonal contraceptive patch, which has completed Phase III clinical trial to deliver ethinyl estradiol and levonorgestrel hormones; MicroCor hPTH(1-34), a transdermal system that has completed Phase 1 and Phase II a clinical trial for the treatment of severe osteoporosis; and Donepezil and Memantine transdermal systems, which completed Phase I clinical trial for the treatment of Alzheimer's disease. In addition, it develops Aripiprazole TDS for the treatment for psychiatric disorders; Ropinirole TDS that is in preclinical stage for the treatment of Parkinson's disease; MicroCor Zolmitriptan that is in preclinical stage for treatment of migraine; and generic transdermal product for the prevention of nausea and vomiting associated with motion sickness. Corium International, Inc. has collaboration agreements primarily with The Procter & Gamble Company; Teva Pharmaceuticals USA, Inc.; Endo Pharmaceuticals, Inc.; Agile Therapeutics, Inc.; and Aequus Pharmaceuticals, Inc. The company was incorporated in 1995 and is headquartered in Menlo Park, California.","{'name': 'Mr. Peter D. Staple', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '465.65k', 'exercised': 'N/A', 'age': '66'}","{'name': 'Mr. Robert S. Breuil', 'title': 'Chief Financial Officer', 'pay': '366.53k', 'exercised': 'N/A', 'age': '56'}","{'name': 'Dr. Joseph J. Sarret M.D., J.D.', 'title': 'Chief Bus. Officer', 'pay': '337.94k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Mr. Timothy  Sweemer CPA', 'title': 'Chief Accounting Officer, VP of Admin. and Sec.', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Parminder  Singh Ph.D.', 'title': 'Chief Technology Officer and VP of R&D', 'pay': 'N/A', 'exercised': 'N/A', 'age': '54'}"
